                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    128,                0.62525,                0.36805,                0.85433,                0.92165,                0.85763,                0.92078,                0.69541,                0.62043,                0.34579,                 0.8625,               0.005842,               0.005842,               0.005842
                    129,                0.62448,                0.36699,                0.85448,                0.92675,                0.85361,                0.92106,                0.69651,                0.61866,                0.34407,                0.86175,               0.005809,               0.005809,               0.005809
                    130,                0.62159,                0.36579,                0.85478,                0.92278,                0.85808,                0.92122,                0.69701,                0.61833,                0.34364,                0.86175,               0.005776,               0.005776,               0.005776
                    131,                0.61855,                0.36413,                0.85346,                0.92635,                0.85733,                0.92158,                0.69741,                0.61748,                0.34409,                0.86171,               0.005743,               0.005743,               0.005743
                    132,                0.62191,                0.36782,                0.85452,                  0.924,                0.85733,                0.92112,                0.69743,                 0.6168,                0.34368,                0.86143,                0.00571,                0.00571,                0.00571
                    133,                0.62129,                0.36632,                0.85314,                 0.9229,                0.85745,                0.92089,                0.69794,                0.61588,                0.34286,                 0.8612,               0.005677,               0.005677,               0.005677
                    134,                0.61535,                0.36356,                0.85382,                0.92386,                0.85688,                0.92258,                0.69791,                0.61568,                0.34242,                0.86135,               0.005644,               0.005644,               0.005644
                    135,                0.61719,                0.36264,                0.85041,                0.92425,                0.85582,                 0.9217,                0.69815,                0.61522,                 0.3425,                0.86138,               0.005611,               0.005611,               0.005611
                    136,                0.61139,                0.36048,                0.85286,                0.92252,                0.85943,                0.92155,                0.69878,                0.61435,                0.34197,                0.86114,               0.005578,               0.005578,               0.005578
                    137,                0.61607,                 0.3615,                0.85118,                0.92458,                0.85683,                0.92087,                0.69892,                0.61441,                0.34074,                0.86114,               0.005545,               0.005545,               0.005545
                    138,                0.61132,                0.35845,                0.85081,                0.92528,                0.85711,                0.92197,                0.69931,                0.61406,                0.34039,                0.86111,               0.005512,               0.005512,               0.005512
                    139,                  0.611,                0.35847,                0.85219,                0.92455,                0.85939,                0.92147,                0.69939,                0.61307,                0.34025,                0.86059,               0.005479,               0.005479,               0.005479
                    140,                 0.6132,                0.36127,                0.85031,                0.92319,                0.85755,                0.92185,                0.69951,                0.61276,                0.34023,                0.86058,               0.005446,               0.005446,               0.005446
                    141,                0.61275,                0.36017,                0.85042,                0.92616,                0.85266,                0.92228,                0.69893,                 0.6121,                0.34037,                0.86042,               0.005413,               0.005413,               0.005413
                    142,                0.60696,                0.35884,                0.85048,                0.91666,                0.86227,                0.92338,                0.69996,                0.61183,                0.34063,                0.86051,                0.00538,                0.00538,                0.00538
                    143,                0.60733,                0.35722,                0.84995,                0.91859,                0.86198,                 0.9234,                0.70028,                0.61153,                 0.3401,                0.86008,               0.005347,               0.005347,               0.005347
                    144,                0.60168,                0.35483,                0.84671,                0.91814,                0.85968,                0.92167,                 0.6996,                0.61171,                0.34017,                0.85998,               0.005314,               0.005314,               0.005314
                    145,                0.60167,                 0.3549,                0.84804,                0.92106,                0.85999,                0.92303,                0.69968,                0.61154,                0.33963,                0.85968,               0.005281,               0.005281,               0.005281
                    146,                0.60349,                  0.355,                0.84948,                0.93343,                0.84935,                0.92326,                0.70044,                0.61116,                0.33931,                0.85937,               0.005248,               0.005248,               0.005248
                    147,                0.60019,                0.35446,                0.84888,                0.92099,                0.86204,                0.92391,                0.70069,                0.61075,                0.33872,                0.85913,               0.005215,               0.005215,               0.005215
                    148,                0.59784,                0.35121,                0.84669,                0.92128,                0.86029,                0.92309,                 0.7004,                 0.6105,                0.33827,                0.85891,               0.005182,               0.005182,               0.005182
                    149,                0.60096,                 0.3548,                 0.8492,                0.92277,                0.86244,                0.92316,                0.70078,                0.61016,                0.33797,                0.85862,               0.005149,               0.005149,               0.005149
                    150,                0.60256,                0.35451,                0.84731,                0.92059,                0.86272,                0.92347,                0.70156,                0.60958,                0.33698,                0.85828,               0.005116,               0.005116,               0.005116
